['c+', '*', '*', 'a+', '*', 'r+', '*', '*'] RRD RRD
['*', '*', '*', 'a+', 'p+', 'c+', '*', '*'] LDD LDD
['t+', '*', '-', '*', '*', 't+', 'p+', 't+'] RUU RUU
['*', 'a+', 'a+', '*', '*', 'c+', '*', 'p+'] LLD LLU
['-', '*', 'r+', '*', 'p+', 'c+', 'd+', 'a+'] LLD LLD
['*', '*', '*', '*', '*', 'a+', '*', '*'] RRD RRD
['p+', 'a+', '*', '*', 't+', 'a+', 'd+', 'r+'] RUU RUU
['a+', 't+', '-', 'd+', 'p+', '*', 't+', '*'] LDD LDD
['r+', 'p+', 'c+', 'd+', '*', '*', 'p+', 'p+'] LUU LUU
['*', '*', '*', '*', 'a+', 'd+', 't+', '*'] RRD RRD
['*', '*', '-', 'p+', 'c+', '*', 'p+', '*'] RDD RDD
['r+', '*', 'r+', '*', '*', 'p+', 'c+', '*'] LLD LLD
['*', '*', '*', 'c+', '*', 'p+', '*', 'c+'] RUU RUU
['*', 'a+', '*', 'c+', '*', '*', '*', 'p+'] LLU LLU
['a+', 'p+', '*', '*', '*', '*', '-', '*'] LUU LUU
['c+', 'a+', 't+', 'd+', '*', 't+', '*', '*'] LDD LDD
['t+', '*', '*', 'd+', '*', '-', 'a+', '*'] LDD LDD
['c+', 'd+', 'd+', '*', 'r+', 'r+', 'c+', 'r+'] RUU RUU
['*', '*', '*', '*', 'd+', '*', 'a+', '-'] RDD RDD
['*', 'c+', '*', 'c+', '*', '*', '*', '*'] LDD LDD
['c+', '*', 'd+', '*', '*', '*', 'a+', '*'] LLD LLD
['c+', '*', 'c+', 'r+', '*', 'p+', 'p+', '*'] LDD LDD
['*', '*', 'c+', '*', '-', '*', '*', '*'] LLD LLD
['*', 'p+', 'd+', '*', 'c+', 'p+', 't+', '*'] LLD LLD
['*', '*', '*', 't+', '*', 'r+', '*', '*'] RRD RRD
['*', '*', 'd+', '*', '*', 'a+', '*', 'd+'] RUU RUU
['c+', '*', 'c+', '*', '*', '*', '*', '*'] LLD LLD
['r+', '*', '*', 'r+', '-', '*', '*', '*'] LDD LDD
['c+', '*', 'd+', '*', 't+', '*', '*', '*'] LLD LLD
['*', 'r+', 'd+', 'p+', '*', '-', 'p+', '*'] LLU LLU
['r+', 'd+', 'p+', 't+', '*', '*', 'd+', '-'] LUU LUU
['p+', 'r+', '*', '*', 'd+', '*', '*', 'p+'] LLU LLU
['c+', '*', 'd+', 'a+', '*', 'p+', '*', 'p+'] LLD LLD
['*', 't+', '*', 'r+', '*', '*', '*', '*'] LDD LDD
['*', '*', '-', '*', '*', '*', '*', 'c+'] RUU RUU
['*', '-', 'a+', '*', '*', 'd+', 'c+', '*'] RRD RRD
['*', '*', 'p+', 'a+', '*', 'a+', 'a+', '*'] RRU RRU
['*', 'a+', '*', 'p+', '*', 'c+', '*', 'r+'] RUU RUU
['p+', 'a+', '*', 'd+', '-', 'r+', '*', 'c+'] RRD RRD
['d+', 'r+', 'r+', '*', '*', '*', '*', '*'] LLD LLD
['c+', '-', 'a+', 'p+', 'c+', 'a+', '-', '*'] RRD RRD
['*', '-', 'r+', '*', 'd+', '*', 't+', '*'] LLD LLD
['t+', '*', '*', '*', '*', 'c+', 't+', 'p+'] RRU RRU
['*', '*', '*', 't+', '*', 'r+', 'd+', '*'] RRD RRD
['*', 'a+', '-', 'p+', '*', '*', 'd+', '*'] RRU RRU
['*', '*', '*', 'p+', 'a+', 'r+', '*', '*'] RRD RRD
['a+', 'c+', '*', 'r+', 'c+', 'r+', 'd+', '*'] RRD RRD
['*', 'd+', 'p+', 'p+', 'a+', '*', 'a+', 't+'] LLU LLU
['p+', '*', 'd+', '*', 'd+', '*', 'a+', 'c+'] RDD RDD
['*', '*', 'a+', '*', 'c+', 't+', '*', 'r+'] RUU RUU
['*', 'c+', '*', '*', '*', '*', 'd+', '*'] RRU RRU
['a+', '*', 'c+', 'r+', '*', 'a+', '-', '*'] LDD LDD
['d+', 'c+', 'a+', 'p+', '*', 'd+', '*', 'a+'] RRD RRD
['a+', 'c+', 'p+', '*', 't+', 'r+', '*', 'a+'] RRD RRD
['*', '*', 'r+', '*', 'p+', 'a+', 'd+', '*'] LLD LLD
['*', '*', '*', 'd+', 'p+', '*', 'd+', '*'] RRU RRU
['*', '*', '*', '*', 'r+', '*', 'r+', 'p+'] RRU RRU
['*', 'a+', 'd+', 'c+', '-', 't+', '*', 'p+'] LLD LLD
['t+', '*', '*', 'd+', 'd+', '*', 'c+', 't+'] RDD RDD
['r+', '*', '*', '*', '*', 'p+', 'r+', '*'] RRU RRU
['c+', 'r+', '*', 'p+', 'r+', '*', 'a+', '*'] RDD RDD
['*', '-', '*', '*', '*', 'r+', 'p+', '*'] RRD RRD
['*', 'd+', '*', '*', '*', '*', 'd+', '*'] RRU RRU
['*', 'a+', 'c+', '*', 'd+', '*', '*', '*'] RDD RDD
['-', '-', 't+', '*', 'p+', 'c+', 'a+', '*'] LLD LLD
['a+', 'c+', '*', '*', '*', '*', '*', '*'] LUU LLU
['p+', '*', '*', 'c+', '*', '*', 'p+', 'a+'] RUU RUU
['p+', '*', 'c+', 'p+', 't+', '-', 'a+', '*'] RDD RDD
['*', '-', '*', '*', '*', '*', '-', 'p+'] RUU RUU
['p+', 'p+', '*', '*', '*', '*', '*', '*'] LLU LLU
['c+', 'p+', '-', '*', '-', '*', '*', 'c+'] RUU RUU
['*', '*', 'a+', '*', '*', '*', '*', '*'] LLD LLD
['d+', 'c+', 't+', '*', '*', '*', 't+', '*'] LUU LUU
['*', 'p+', 'r+', 'a+', 'd+', '*', 'p+', '*'] LLD LLD
['*', '*', 'p+', '*', '*', 'p+', '*', '*'] RRD RRD
['-', '*', '*', '*', '*', 'c+', '*', '*'] RRD RRD
['*', '*', 'a+', '*', 'd+', 'p+', '-', '*'] RDD RDD
['*', '*', '*', '*', '-', 'c+', 'd+', '*'] RRU RRU
['*', '*', 'c+', '*', '*', '*', 'd+', '*'] RRU RRU
['d+', 't+', 'p+', '*', 'c+', 'a+', '*', '*'] LUU LUU
['r+', '-', '-', 'p+', '*', '*', 't+', '*'] LUU LUU
['*', '-', '*', '*', 'a+', '*', '*', '*'] RDD RDD
['r+', '*', 't+', 'd+', '*', 't+', '*', 'd+'] LUU LUU
['*', '*', 'p+', '*', 't+', 'a+', '*', 'p+'] RDD RDD
['-', '*', '*', '*', '*', 'r+', 'd+', 'a+'] RRD RRD
['r+', '*', '*', 'p+', 'p+', 'r+', '-', 't+'] RRD RRD
['t+', 'a+', 'p+', '-', '-', '*', '*', 'p+'] LUU LUU
['c+', 't+', 'd+', 'c+', 'p+', '*', 'c+', '*'] LLD LLD
['*', 'c+', 'c+', 'd+', '*', 'd+', 't+', 'c+'] RRD RRD
